datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2026-01-31 20:40:42,17000,9,B+1.0,293.8904543481759,262.6267611416979
2026-01-31 21:08:30,17500,15,B+1.0,309.8904543481759,278.6267611416979
2026-01-31 21:36:27,18000,22,W+1.0,294.6267611416979,325.8904543481759
2026-01-31 22:03:13,18500,11,B+1.0,310.6267611416979,279.3630679352199
2026-01-31 22:31:00,19000,13,B+1.0,326.6267611416979,295.3630679352199
2026-01-31 22:59:17,19500,13,B+1.0,342.6267611416979,311.3630679352199
2026-01-31 23:27:03,20000,13,B+1.0,358.6267611416979,327.3630679352199
2026-01-31 23:55:19,20500,13,B+1.0,374.6267611416979,343.3630679352199
2026-02-01 00:22:38,21000,15,B+1.0,390.6267611416979,359.3630679352199
2026-02-01 00:50:24,21500,13,B+1.0,406.6267611416979,375.3630679352199
2026-02-01 01:18:12,22000,15,B+1.0,422.6267611416979,391.3630679352199
2026-02-01 01:45:32,22500,15,B+1.0,438.6267611416979,407.3630679352199
2026-02-01 02:13:19,23000,13,B+1.0,454.6267611416979,423.3630679352199
2026-02-01 02:41:10,23500,15,B+1.0,470.6267611416979,439.3630679352199
2026-02-01 03:08:55,24000,9,B+1.0,486.6267611416979,455.3630679352199
2026-02-01 03:36:40,24500,9,B+1.0,502.6267611416979,471.3630679352199
2026-02-01 04:03:27,25000,13,B+1.0,518.6267611416979,487.3630679352199
2026-02-01 04:31:13,25500,12,W+1.0,503.3630679352199,534.6267611416979
2026-02-01 04:59:30,26000,12,W+1.0,488.09937472874185,519.3630679352199
2026-02-01 05:27:16,26500,13,B+1.0,504.09937472874185,472.8356815222638
2026-02-01 05:54:33,27000,13,B+1.0,520.0993747287419,488.8356815222638
2026-02-01 06:22:20,27500,13,B+1.0,536.0993747287419,504.8356815222638
2026-02-01 06:49:36,28000,13,B+1.0,552.0993747287419,520.8356815222638
2026-02-01 07:17:52,28500,13,B+1.0,568.0993747287419,536.8356815222638
2026-02-01 07:44:41,29000,13,B+1.0,584.0993747287419,552.8356815222638
2026-02-01 08:12:30,29500,13,B+1.0,600.0993747287419,568.8356815222638
2026-02-01 08:40:46,30000,13,B+1.0,616.0993747287419,584.8356815222638
2026-02-01 09:08:35,30500,15,B+1.0,632.0993747287419,600.8356815222638
2026-02-01 09:36:22,31000,13,B+1.0,648.0993747287419,616.8356815222638
2026-02-01 10:04:10,31500,13,B+1.0,664.0993747287419,632.8356815222638
2026-02-01 10:31:57,32000,12,W+1.0,648.8356815222638,680.0993747287419
2026-02-01 10:59:47,32500,13,B+1.0,664.8356815222638,633.5719883157858
2026-02-01 11:27:02,33000,12,W+1.0,649.5719883157858,680.8356815222638
2026-02-01 11:54:49,33500,13,B+1.0,665.5719883157858,634.3082951093078
2026-02-01 12:22:06,34000,12,W+1.0,650.3082951093078,681.5719883157858
2026-02-01 12:49:52,34500,13,B+1.0,666.3082951093078,635.0446019028298
2026-02-01 13:17:42,35000,15,B+1.0,682.3082951093078,651.0446019028298
2026-02-01 13:44:59,35500,13,B+1.0,698.3082951093078,667.0446019028298
2026-02-01 14:12:48,36000,13,B+1.0,714.3082951093078,683.0446019028298
2026-02-01 14:40:08,36500,13,B+1.0,730.3082951093078,699.0446019028298
2026-02-01 15:07:55,37000,13,B+1.0,746.3082951093078,715.0446019028298
2026-02-01 15:35:44,37500,13,B+1.0,762.3082951093078,731.0446019028298
2026-02-01 16:03:33,38000,14,W+1.0,747.0446019028298,778.3082951093078
2026-02-01 16:31:20,38500,13,B+1.0,763.0446019028298,731.7809086963517
2026-02-01 16:59:06,39000,13,B+1.0,779.0446019028298,747.7809086963517
2026-02-01 17:26:23,39500,13,B+1.0,795.0446019028298,763.7809086963517
2026-02-01 17:53:41,40000,14,W+1.0,779.7809086963517,811.0446019028298
2026-02-01 18:21:58,40500,13,B+1.0,795.7809086963517,764.5172154898737
2026-02-01 18:49:41,41000,9,B+1.0,811.7809086963517,780.5172154898737
2026-02-01 19:16:55,41500,9,B+1.0,827.7809086963517,796.5172154898737
2026-02-01 19:44:13,42000,14,W+1.0,812.5172154898737,843.7809086963517
2026-02-01 20:11:02,42500,9,B+1.0,828.5172154898737,797.2535222833957
2026-02-01 20:38:45,43000,9,B+1.0,844.5172154898737,813.2535222833957
2026-02-01 21:06:30,43500,9,B+1.0,860.5172154898737,829.2535222833957
2026-02-01 21:34:15,44000,9,B+1.0,876.5172154898737,845.2535222833957
2026-02-01 22:02:26,44500,9,B+1.0,892.5172154898737,861.2535222833957
2026-02-01 22:29:10,45000,9,B+1.0,908.5172154898737,877.2535222833957
2026-02-01 22:56:24,45500,9,B+1.0,924.5172154898737,893.2535222833957
2026-02-01 23:24:10,46000,9,B+1.0,940.5172154898737,909.2535222833957
2026-02-01 23:52:53,46500,9,B+1.0,956.5172154898737,925.2535222833957
2026-02-02 00:20:38,47000,9,B+1.0,972.5172154898737,941.2535222833957
2026-02-02 00:48:53,47500,9,B+1.0,988.5172154898737,957.2535222833957
2026-02-02 01:16:36,48000,9,B+1.0,1004.5172154898737,973.2535222833957
2026-02-02 01:43:50,48500,9,B+1.0,1020.5172154898737,989.2535222833957
2026-02-02 02:11:05,49000,9,B+1.0,1036.5172154898737,1005.2535222833957
2026-02-02 02:38:50,49500,9,B+1.0,1052.5172154898737,1021.2535222833957
